user_id,company_id,name,email,role,is_active
USR-001,cmp_nova_distribuidora,Usuario 001,usuario001@novadistribuidora.com.br,cfo,true
USR-002,cmp_nova_distribuidora,Usuario 002,usuario002@novadistribuidora.com.br,controller,true
USR-003,cmp_nova_distribuidora,Usuario 003,usuario003@novadistribuidora.com.br,sales_director,true
USR-004,cmp_nova_distribuidora,Usuario 004,usuario004@novadistribuidora.com.br,operations_manager,true
USR-005,cmp_nova_distribuidora,Usuario 005,usuario005@novadistribuidora.com.br,buyer,true
USR-006,cmp_nova_distribuidora,Usuario 006,usuario006@novadistribuidora.com.br,analyst,true
USR-007,cmp_nova_distribuidora,Usuario 007,usuario007@novadistribuidora.com.br,ceo,true
USR-008,cmp_nova_distribuidora,Usuario 008,usuario008@novadistribuidora.com.br,cfo,true
USR-009,cmp_nova_distribuidora,Usuario 009,usuario009@novadistribuidora.com.br,controller,true
USR-010,cmp_nova_distribuidora,Usuario 010,usuario010@novadistribuidora.com.br,sales_director,true
USR-011,cmp_nova_distribuidora,Usuario 011,usuario011@novadistribuidora.com.br,operations_manager,true
USR-012,cmp_nova_distribuidora,Usuario 012,usuario012@novadistribuidora.com.br,buyer,true
USR-013,cmp_nova_distribuidora,Usuario 013,usuario013@novadistribuidora.com.br,analyst,true
USR-014,cmp_nova_distribuidora,Usuario 014,usuario014@novadistribuidora.com.br,ceo,true
USR-015,cmp_nova_distribuidora,Usuario 015,usuario015@novadistribuidora.com.br,cfo,true
USR-016,cmp_nova_distribuidora,Usuario 016,usuario016@novadistribuidora.com.br,controller,true
USR-017,cmp_nova_distribuidora,Usuario 017,usuario017@novadistribuidora.com.br,sales_director,false
USR-018,cmp_nova_distribuidora,Usuario 018,usuario018@novadistribuidora.com.br,operations_manager,true
USR-019,cmp_nova_distribuidora,Usuario 019,usuario019@novadistribuidora.com.br,buyer,true
USR-020,cmp_nova_distribuidora,Usuario 020,usuario020@novadistribuidora.com.br,analyst,true
USR-021,cmp_nova_distribuidora,Usuario 021,usuario021@novadistribuidora.com.br,ceo,true
USR-022,cmp_nova_distribuidora,Usuario 022,usuario022@novadistribuidora.com.br,cfo,true
USR-023,cmp_nova_distribuidora,Usuario 023,usuario023@novadistribuidora.com.br,controller,true
USR-024,cmp_nova_distribuidora,Usuario 024,usuario024@novadistribuidora.com.br,sales_director,true
USR-025,cmp_nova_distribuidora,Usuario 025,usuario025@novadistribuidora.com.br,operations_manager,true
USR-026,cmp_nova_distribuidora,Usuario 026,usuario026@novadistribuidora.com.br,buyer,true
USR-027,cmp_nova_distribuidora,Usuario 027,usuario027@novadistribuidora.com.br,analyst,true
USR-028,cmp_nova_distribuidora,Usuario 028,usuario028@novadistribuidora.com.br,ceo,true
USR-029,cmp_nova_distribuidora,Usuario 029,usuario029@novadistribuidora.com.br,cfo,true
USR-030,cmp_nova_distribuidora,Usuario 030,usuario030@novadistribuidora.com.br,controller,true
USR-031,cmp_nova_distribuidora,Usuario 031,usuario031@novadistribuidora.com.br,sales_director,true
USR-032,cmp_nova_distribuidora,Usuario 032,usuario032@novadistribuidora.com.br,operations_manager,true
USR-033,cmp_nova_distribuidora,Usuario 033,usuario033@novadistribuidora.com.br,buyer,true
USR-034,cmp_nova_distribuidora,Usuario 034,usuario034@novadistribuidora.com.br,analyst,false
USR-035,cmp_nova_distribuidora,Usuario 035,usuario035@novadistribuidora.com.br,ceo,true
USR-036,cmp_nova_distribuidora,Usuario 036,usuario036@novadistribuidora.com.br,cfo,true
USR-037,cmp_nova_distribuidora,Usuario 037,usuario037@novadistribuidora.com.br,controller,true
USR-038,cmp_nova_distribuidora,Usuario 038,usuario038@novadistribuidora.com.br,sales_director,true
USR-039,cmp_nova_distribuidora,Usuario 039,usuario039@novadistribuidora.com.br,operations_manager,true
USR-040,cmp_nova_distribuidora,Usuario 040,usuario040@novadistribuidora.com.br,buyer,true
USR-041,cmp_nova_distribuidora,Usuario 041,usuario041@novadistribuidora.com.br,analyst,true
USR-042,cmp_nova_distribuidora,Usuario 042,usuario042@novadistribuidora.com.br,ceo,true
USR-043,cmp_nova_distribuidora,Usuario 043,usuario043@novadistribuidora.com.br,cfo,true
USR-044,cmp_nova_distribuidora,Usuario 044,usuario044@novadistribuidora.com.br,controller,true
USR-045,cmp_nova_distribuidora,Usuario 045,usuario045@novadistribuidora.com.br,sales_director,true
USR-046,cmp_nova_distribuidora,Usuario 046,usuario046@novadistribuidora.com.br,operations_manager,true
USR-047,cmp_nova_distribuidora,Usuario 047,usuario047@novadistribuidora.com.br,buyer,true
USR-048,cmp_nova_distribuidora,Usuario 048,usuario048@novadistribuidora.com.br,analyst,true
